rating
11
6
6
0
2
9
1
0
3
7
1
0
1
100
1
0
2
1
1
2
0
0
13
0
0
1
6
0
1
0
6
0
1
0
1
1
8
0
1
8
0
1
0
0
1
0
0
1
1
1
1
6
0
1
0
15
6
1
14
7
8
1
1
0
1
3
0
1
0
6
1
6
8
8
2
6
1
1
2
1
2
2
0
1
6
0
6
0
1
1
2
0
1
0
2
0
1
0
9
0
1
0
3
0
1
4
0
1
11
0
6
0
3
6
1
6
3
7
1
0
1
8
1
0
2
1
1
2
0
0
7
0
0
1
7
0
1
0
6
0
1
0
0
1
8
0
1
8
0
1
0
1
0
0
2
1
1
1
6
0
1
0
15
6
1
14
7
8
1
0
0
1
3
0
0
1
0
1
8
1
8
1
8
8
2
6
1
1 
1
6 
2
1
0
1
6
0
2
0
0
1
2
0
1
0
9
0
2
100
1
8
0
8
3
1
0
2
6
0
1
0
2
1
2
0
1
1
2
8
0
6
1
0
1
0
1
0
0
4
0
0
11
0
6
1
3
5
1
7 
2
0
1
0
1
0
1
0
2
1
1
1
0
1
8
0
1
0
2
0
1
0
1
8
1
100
1
8
0
8
